time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-02-04 19:48:05 +0200,1.0,4315148759,0,0,1179,7
2025-02-04 19:48:07 +0200,5.0,221499,4073,14975,2157,14
2025-02-04 19:48:09 +0200,1.0,311785,243,168246,2157,14
2025-02-04 19:48:10 +0200,4.0,282071,225,175257,2157,14
2025-02-04 19:48:11 +0200,14.0,71119,497,11399,2225,14
2025-02-04 19:48:12 +0200,22.0,40759,380,987,2225,14
2025-02-04 19:48:13 +0200,21.0,43221,310,829,2316,15
2025-02-04 19:48:14 +0200,22.0,40814,300,887,2316,15
2025-02-04 19:48:15 +0200,22.0,40633,276,932,2316,15
2025-02-04 19:48:16 +0200,22.0,41003,267,894,2316,15
2025-02-04 19:48:17 +0200,22.0,41398,256,872,2316,15
2025-02-04 19:48:18 +0200,22.0,40734,307,849,2316,15
2025-02-04 19:48:19 +0200,22.0,40779,279,920,2316,15
2025-02-04 19:48:20 +0200,22.0,41615,341,919,2316,15
2025-02-04 19:48:21 +0200,21.0,40787,264,876,2316,15
2025-02-04 19:48:22 +0200,21.0,45908,289,900,2316,15
2025-02-04 19:48:23 +0200,20.0,45846,338,915,2317,15
2025-02-04 19:48:24 +0200,20.0,45441,343,826,2318,15
2025-02-04 19:48:25 +0200,20.0,44543,310,802,2320,15
2025-02-04 19:48:26 +0200,19.0,46857,328,837,2321,15
2025-02-04 19:48:27 +0200,19.0,49598,378,632,2476,16
2025-02-04 19:48:28 +0200,22.0,41536,394,863,2573,16
2025-02-04 19:48:29 +0200,22.0,41102,316,908,2911,19
2025-02-04 19:48:31 +0200,22.0,40441,395,942,2954,19
2025-02-04 19:48:32 +0200,22.0,41303,326,913,2954,19
2025-02-04 19:48:33 +0200,21.0,42559,320,884,2954,19
2025-02-04 19:48:34 +0200,19.0,48876,281,919,2954,19
2025-02-04 19:48:35 +0200,17.0,53808,302,935,2954,19
2025-02-04 19:48:36 +0200,14.0,77602,278,894,2954,19
2025-02-04 19:48:37 +0200,4.0,294163,281,947,2954,19
2025-02-04 19:48:38 +0200,4.0,348677,374,910,2954,19
