time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-02-19 18:23:28 +0200,1.0,704578222,0,0,1179,7
2025-02-19 18:23:29 +0200,17.0,13009,957,2074,2157,14
2025-02-19 18:23:30 +0200,19.0,14392,218,714,2157,14
2025-02-19 18:23:31 +0200,14.0,34884,325,753,2225,14
2025-02-19 18:23:32 +0200,18.0,16445,260,876,2225,14
2025-02-19 18:23:33 +0200,18.0,8820,302,921,2225,14
2025-02-19 18:23:34 +0200,16.0,8729,323,1021,2225,14
2025-02-19 18:23:35 +0200,18.0,16981,304,987,2225,14
2025-02-19 18:23:36 +0200,19.0,16366,280,956,2225,14
2025-02-19 18:23:37 +0200,17.0,19908,366,909,2316,15
2025-02-19 18:23:38 +0200,18.0,15439,331,961,2316,15
2025-02-19 18:23:39 +0200,16.0,9254,345,1029,2316,15
2025-02-19 18:23:40 +0200,17.0,10110,285,965,2316,15
2025-02-19 18:23:41 +0200,15.0,6173,351,1037,2316,15
2025-02-19 18:23:42 +0200,19.0,15639,283,947,2316,15
2025-02-19 18:23:43 +0200,17.0,9120,265,925,2316,15
2025-02-19 18:23:44 +0200,17.0,8752,233,909,2316,15
2025-02-19 18:23:45 +0200,17.0,11132,265,926,2316,15
2025-02-19 18:23:46 +0200,18.0,11910,281,913,2316,15
2025-02-19 18:23:47 +0200,18.0,11088,266,895,2316,15
2025-02-19 18:23:48 +0200,17.0,10801,247,944,2316,15
2025-02-19 18:23:49 +0200,17.0,13204,232,899,2316,15
2025-02-19 18:23:50 +0200,18.0,10485,282,915,2316,15
2025-02-19 18:23:51 +0200,17.0,9565,270,939,2316,15
2025-02-19 18:23:52 +0200,18.0,16371,254,854,2316,15
2025-02-19 18:23:53 +0200,16.0,8513,269,946,2316,15
2025-02-19 18:23:54 +0200,17.0,8210,259,956,2316,15
2025-02-19 18:23:55 +0200,19.0,13873,242,946,2316,15
2025-02-19 18:23:56 +0200,18.0,14034,274,956,2316,15
2025-02-19 18:23:57 +0200,19.0,11341,261,873,2316,15
2025-02-19 18:23:58 +0200,17.0,8210,295,1026,2316,15
2025-02-19 18:23:59 +0200,18.0,16242,274,1035,2316,15
2025-02-19 18:24:00 +0200,17.0,10704,266,949,2316,15
2025-02-19 18:24:01 +0200,15.0,5273,279,1029,2316,15
2025-02-19 18:24:02 +0200,16.0,7705,266,954,2316,15
2025-02-19 18:24:03 +0200,18.0,13925,308,1020,2316,15
2025-02-19 18:24:04 +0200,18.0,8949,272,951,2316,15
2025-02-19 18:24:05 +0200,17.0,11703,343,986,2316,15
2025-02-19 18:24:06 +0200,17.0,12669,840,1065,2316,15
2025-02-19 18:24:07 +0200,18.0,11980,288,961,2316,15
2025-02-19 18:24:09 +0200,17.0,9608,302,1102,2316,15
2025-02-19 18:24:10 +0200,17.0,9122,277,1027,2316,15
2025-02-19 18:24:11 +0200,18.0,14593,300,1105,2316,15
2025-02-19 18:24:12 +0200,19.0,14601,326,1121,2316,15
2025-02-19 18:24:13 +0200,15.0,5823,270,1028,2316,15
2025-02-19 18:24:14 +0200,19.0,15694,250,1047,2316,15
2025-02-19 18:24:15 +0200,14.0,4051,272,1171,2316,15
2025-02-19 18:24:16 +0200,18.0,10732,269,989,2316,15
2025-02-19 18:24:17 +0200,18.0,11917,256,891,2316,15
2025-02-19 18:24:18 +0200,16.0,10055,257,1041,2316,15
2025-02-19 18:24:19 +0200,22.0,30901,297,1032,2316,15
2025-02-19 18:24:20 +0200,22.0,39349,302,1093,2316,15
2025-02-19 18:24:21 +0200,22.0,38495,317,1865,2316,15
2025-02-19 18:24:22 +0200,19.0,47203,285,967,2316,15
2025-02-19 18:24:23 +0200,19.0,45586,332,1015,2317,15
2025-02-19 18:24:24 +0200,20.0,44867,317,854,2318,15
2025-02-19 18:24:25 +0200,19.0,47873,340,894,2320,15
2025-02-19 18:24:26 +0200,20.0,42699,310,1004,2321,15
2025-02-19 18:24:27 +0200,18.0,49723,303,945,2332,15
2025-02-19 18:24:28 +0200,22.0,38299,310,690,2556,16
2025-02-19 18:24:29 +0200,22.0,37949,353,1269,2695,17
2025-02-19 18:24:30 +0200,22.0,39652,286,916,2954,19
2025-02-19 18:24:31 +0200,22.0,39179,389,980,2954,19
2025-02-19 18:24:32 +0200,22.0,39130,370,1098,2954,19
2025-02-19 18:24:33 +0200,21.0,40983,372,1113,2954,19
2025-02-19 18:24:34 +0200,19.0,49091,325,1188,2954,19
2025-02-19 18:24:35 +0200,16.0,55678,276,1037,2954,19
2025-02-19 18:24:36 +0200,17.0,53965,352,1114,2954,19
2025-02-19 18:24:37 +0200,4.0,314142,270,963,2954,19
2025-02-19 18:24:39 +0200,4.0,305089,227,990,2954,19
2025-02-19 18:24:40 +0200,4.0,336836,249,902,2954,19
2025-02-19 18:24:41 +0200,13.0,67449,249,988,2954,19
2025-02-19 18:24:42 +0200,22.0,40210,292,973,2954,19
2025-02-19 18:24:43 +0200,22.0,38959,252,1019,2954,19
2025-02-19 18:24:44 +0200,22.0,41057,261,877,2954,19
2025-02-19 18:24:45 +0200,18.0,51859,291,877,2954,19
2025-02-19 18:24:46 +0200,21.0,43182,321,915,2969,19
2025-02-19 18:24:48 +0200,12.0,119237,321,842,2959,19
2025-02-19 18:24:49 +0200,14.0,65735,300,788,3546,23
2025-02-19 18:24:50 +0200,19.0,48881,264,863,4276,27
2025-02-19 18:24:51 +0200,16.0,58338,276,865,5097,33
2025-02-19 18:24:52 +0200,21.0,42889,297,858,5763,37
2025-02-19 18:24:53 +0200,20.0,44664,312,899,6490,42
2025-02-19 18:24:54 +0200,22.0,40811,328,879,7313,47
2025-02-19 18:24:55 +0200,22.0,40557,340,913,7294,47
2025-02-19 18:24:56 +0200,22.0,41518,316,910,2420,15
2025-02-19 18:24:57 +0200,22.0,41739,333,925,2882,18
2025-02-19 18:24:58 +0200,3.0,455116,383,915,3713,24
2025-02-19 18:24:59 +0200,15.0,70090,4873,5050,3233,21
2025-02-19 18:25:00 +0200,55.0,12055,3181,8603,5559,36
2025-02-19 18:25:01 +0200,90.0,4071,2468,8209,5560,36
2025-02-19 18:25:02 +0200,90.0,3984,2355,8336,5561,36
2025-02-19 18:25:03 +0200,90.0,4459,2662,8824,6011,39
2025-02-19 18:25:04 +0200,90.0,4878,3130,9273,6892,45
2025-02-19 18:25:06 +0200,91.0,7214,5238,10400,7088,46
2025-02-19 18:25:07 +0200,90.0,7846,5851,10444,8048,52
2025-02-19 18:25:08 +0200,90.0,8389,6205,10410,8379,54
2025-02-19 18:25:09 +0200,83.0,10081,6956,10864,7919,51
2025-02-19 18:25:10 +0200,78.0,10629,7281,12049,8234,53
2025-02-19 18:25:11 +0200,83.0,11310,9054,10994,8243,53
2025-02-19 18:25:12 +0200,89.0,10889,8613,10571,8243,53
2025-02-19 18:25:13 +0200,85.0,11271,8839,10883,8243,53
2025-02-19 18:25:14 +0200,83.0,11383,9023,11003,8243,53
2025-02-19 18:25:15 +0200,84.0,10960,8699,10856,8243,53
2025-02-19 18:25:16 +0200,87.0,10965,8693,10784,8243,53
2025-02-19 18:25:17 +0200,86.0,10882,8518,10992,8243,53
2025-02-19 18:25:18 +0200,86.0,11057,8365,10535,8243,53
2025-02-19 18:25:19 +0200,88.0,10796,8486,10504,8243,53
2025-02-19 18:25:20 +0200,57.0,11321,8939,11288,7868,51
2025-02-19 18:25:21 +0200,34.0,12545,10018,16230,7959,52
2025-02-19 18:25:22 +0200,34.0,12223,9644,15799,7960,52
2025-02-19 18:25:23 +0200,34.0,12235,9816,15447,7987,52
2025-02-19 18:25:24 +0200,34.0,12300,9935,15656,7987,52
2025-02-19 18:25:25 +0200,35.0,12015,9737,15533,7987,52
2025-02-19 18:25:26 +0200,34.0,12221,9853,15460,7987,52
2025-02-19 18:25:27 +0200,31.0,14239,11542,16626,7987,52
2025-02-19 18:25:28 +0200,31.0,14527,11672,17294,7987,52
2025-02-19 18:25:29 +0200,32.0,14489,11696,15912,7989,52
2025-02-19 18:25:30 +0200,33.0,12872,10167,16381,6814,44
2025-02-19 18:25:31 +0200,36.0,12284,9368,14027,7672,50
2025-02-19 18:25:32 +0200,37.0,11173,8421,12952,7792,50
2025-02-19 18:25:33 +0200,40.0,10757,8126,12436,7844,51
2025-02-19 18:25:34 +0200,38.0,11014,8287,12242,7890,51
2025-02-19 18:25:35 +0200,37.0,11671,8856,12785,7994,52
2025-02-19 18:25:36 +0200,45.0,13218,9861,13250,7998,52
2025-02-19 18:25:37 +0200,72.0,12397,9345,12009,7731,50
2025-02-19 18:25:38 +0200,72.0,12509,9393,12139,8061,52
2025-02-19 18:25:39 +0200,88.0,10340,7783,10725,8101,53
2025-02-19 18:25:40 +0200,90.0,9841,7338,10633,8109,53
2025-02-19 18:25:41 +0200,90.0,9635,7252,10478,8222,53
2025-02-19 18:25:42 +0200,90.0,9975,7584,10546,8235,53
2025-02-19 18:25:43 +0200,87.0,10411,7978,10781,8326,54
2025-02-19 18:25:44 +0200,56.0,17514,13728,16028,8142,53
2025-02-19 18:25:45 +0200,56.0,14762,11584,14056,7626,49
2025-02-19 18:25:46 +0200,31.0,15139,11777,15494,7969,52
2025-02-19 18:25:47 +0200,30.0,14652,11163,16514,7986,52
2025-02-19 18:25:48 +0200,32.0,14793,11367,14861,8195,53
2025-02-19 18:25:49 +0200,31.0,15107,11906,15149,8222,53
2025-02-19 18:25:50 +0200,31.0,15726,12287,14996,8256,54
2025-02-19 18:25:51 +0200,31.0,15365,12006,14588,8297,54
2025-02-19 18:25:52 +0200,32.0,14244,11012,13859,8311,54
2025-02-19 18:25:53 +0200,62.0,12539,9781,12137,8316,54
2025-02-19 18:25:54 +0200,85.0,10944,8448,10869,8321,54
2025-02-19 18:25:55 +0200,89.0,10376,7916,10665,8324,54
2025-02-19 18:25:56 +0200,80.0,10337,7880,10609,8327,54
2025-02-19 18:25:57 +0200,39.0,11079,8425,12162,8331,54
2025-02-19 18:25:58 +0200,37.0,11500,8758,12380,8365,54
2025-02-19 18:25:59 +0200,36.0,11914,9234,12816,8367,54
2025-02-19 18:26:00 +0200,36.0,12135,9426,13150,8369,54
2025-02-19 18:26:01 +0200,35.0,12202,9581,13337,8389,54
2025-02-19 18:26:02 +0200,41.0,10603,8063,11986,8391,54
2025-02-19 18:26:03 +0200,44.0,10077,7557,11409,8393,54
2025-02-19 18:26:04 +0200,45.0,9944,7405,11272,8395,54
2025-02-19 18:26:05 +0200,44.0,9976,7427,11525,8396,54
2025-02-19 18:26:06 +0200,45.0,9693,7232,11299,8396,54
2025-02-19 18:26:07 +0200,44.0,9810,7394,11096,8397,54
2025-02-19 18:26:08 +0200,44.0,9726,7272,11116,8402,54
2025-02-19 18:26:09 +0200,81.0,8755,6496,10510,8426,55
2025-02-19 18:26:10 +0200,88.0,8677,6480,10459,8431,55
2025-02-19 18:26:11 +0200,90.0,8213,5985,10418,8434,55
2025-02-19 18:26:12 +0200,91.0,8106,5904,10421,8438,55
2025-02-19 18:26:13 +0200,91.0,8424,6150,10431,8439,55
2025-02-19 18:26:14 +0200,90.0,8406,6132,10419,8451,55
2025-02-19 18:26:15 +0200,90.0,9013,6684,10419,8452,55
2025-02-19 18:26:16 +0200,62.0,9453,7020,10852,8452,55
2025-02-19 18:26:17 +0200,37.0,11665,8970,13325,8464,55
2025-02-19 18:26:18 +0200,36.0,12065,9389,13808,8465,55
2025-02-19 18:26:19 +0200,60.0,11390,8797,11837,8466,55
2025-02-19 18:26:20 +0200,75.0,10484,7895,10631,8467,55
2025-02-19 18:26:21 +0200,40.0,11180,8394,11635,8467,55
2025-02-19 18:26:22 +0200,42.0,10724,7950,11440,8467,55
2025-02-19 18:26:23 +0200,44.0,10383,7632,11092,8468,55
2025-02-19 18:26:24 +0200,41.0,11012,8326,11013,8468,55
2025-02-19 18:26:25 +0200,35.0,11969,9258,12541,8490,55
2025-02-19 18:26:26 +0200,37.0,11584,8959,12263,8490,55
2025-02-19 18:26:27 +0200,37.0,11490,8897,12415,8491,55
2025-02-19 18:26:28 +0200,37.0,11858,9210,12824,8492,55
2025-02-19 18:26:29 +0200,37.0,11547,8967,12924,8493,55
2025-02-19 18:26:30 +0200,37.0,11416,8812,13108,8496,55
2025-02-19 18:26:31 +0200,38.0,10992,8429,12740,8497,55
2025-02-19 18:26:32 +0200,38.0,10980,8368,12703,8497,55
