time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-02-03 17:09:32 +0200,1.0,71908327896,0,0,1179,7
2025-02-03 17:09:33 +0200,18.0,56923,1488,2203,2225,14
2025-02-03 17:09:34 +0200,21.0,49839,437,888,2317,15
2025-02-03 17:09:35 +0200,22.0,46879,412,985,2317,15
2025-02-03 17:09:36 +0200,11.0,90912,406,898,2316,15
2025-02-03 17:09:37 +0200,19.0,52628,450,809,2318,15
2025-02-03 17:09:38 +0200,19.0,53577,479,860,2319,15
2025-02-03 17:09:39 +0200,19.0,55083,516,673,2326,15
2025-02-03 17:09:40 +0200,22.0,46753,500,694,2480,16
2025-02-03 17:09:41 +0200,22.0,46885,439,914,2902,18
2025-02-03 17:09:42 +0200,22.0,46847,476,913,3151,20
2025-02-03 17:09:43 +0200,21.0,49666,430,888,3188,20
2025-02-03 17:09:44 +0200,19.0,53778,395,892,3188,20
2025-02-03 17:09:45 +0200,6.0,195587,399,962,3188,20
2025-02-03 17:09:46 +0200,4.0,295124,381,797,3188,20
2025-02-03 17:09:47 +0200,4.0,294541,416,1065,3188,20
2025-02-03 17:09:48 +0200,8.0,127265,376,926,3188,20
2025-02-03 17:09:49 +0200,22.0,46628,377,913,3188,20
2025-02-03 17:09:50 +0200,13.0,77189,428,836,3188,20
2025-02-03 17:09:51 +0200,13.0,78608,368,834,3188,20
2025-02-03 17:09:52 +0200,20.0,50262,482,962,3197,20
2025-02-03 17:09:54 +0200,22.0,46866,486,900,3202,20
2025-02-03 17:09:55 +0200,1.0,1211588,409,1922,3198,20
2025-02-03 17:09:56 +0200,19.0,53016,449,844,3874,25
2025-02-03 17:09:57 +0200,20.0,51527,446,934,4624,30
2025-02-03 17:09:58 +0200,22.0,46879,412,893,5359,35
2025-02-03 17:09:59 +0200,21.0,64327,417,859,6168,40
2025-02-03 17:10:00 +0200,29.0,40295,1763,1951,6169,40
2025-02-03 17:10:01 +0200,66.0,15168,6289,8049,6968,45
2025-02-03 17:10:02 +0200,90.0,11714,5294,7782,6966,45
2025-02-03 17:10:03 +0200,88.0,11375,3313,6760,6966,45
2025-02-03 17:10:04 +0200,90.0,11108,3179,7058,6966,45
2025-02-03 17:10:05 +0200,91.0,11120,3109,7259,6966,45
2025-02-03 17:10:06 +0200,90.0,11113,3361,7198,6966,45
2025-02-03 17:10:07 +0200,91.0,11104,3499,7264,6967,45
2025-02-03 17:10:08 +0200,91.0,11087,3237,7316,6967,45
