time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-01-29 22:43:22 +0200,91.0,11088,6668,8951,10608,69
2025-01-29 22:43:23 +0200,91.0,11112,6543,8907,10608,69
2025-01-29 22:43:24 +0200,90.0,11108,6488,8870,10608,69
2025-01-29 22:43:25 +0200,91.0,11109,6247,8837,10608,69
2025-01-29 22:43:26 +0200,91.0,11107,6103,8690,10609,69
2025-01-29 22:43:27 +0200,90.0,11105,6436,8747,10609,69
2025-01-29 22:43:28 +0200,90.0,11113,6583,8708,10611,69
2025-01-29 22:43:29 +0200,90.0,11114,7077,8921,10611,69
2025-01-29 22:43:30 +0200,91.0,11089,7164,9139,10611,69
2025-01-29 22:43:31 +0200,90.0,11122,6782,8763,10611,69
2025-01-29 22:43:32 +0200,91.0,11107,6471,8611,10611,69
2025-01-29 22:43:33 +0200,90.0,11110,6594,8505,10611,69
2025-01-29 22:43:34 +0200,91.0,11101,5754,8377,10612,69
2025-01-29 22:43:35 +0200,90.0,11112,5319,8221,10612,69
2025-01-29 22:43:36 +0200,90.0,11102,6108,8260,10612,69
2025-01-29 22:43:37 +0200,91.0,11113,6338,8355,10612,69
2025-01-29 22:43:38 +0200,90.0,11106,6312,8382,10612,69
2025-01-29 22:43:39 +0200,91.0,11100,6263,8466,10612,69
2025-01-29 22:43:40 +0200,90.0,11111,6274,8650,10612,69
2025-01-29 22:43:41 +0200,90.0,11108,6008,8801,10612,69
2025-01-29 22:43:42 +0200,91.0,11118,6005,9039,10612,69
2025-01-29 22:43:43 +0200,90.0,11102,6121,9348,10612,69
2025-01-29 22:43:44 +0200,91.0,11106,5612,8728,10612,69
2025-01-29 22:43:45 +0200,91.0,11102,5651,8326,10612,69
2025-01-29 22:43:46 +0200,91.0,11124,5414,8268,10612,69
2025-01-29 22:43:47 +0200,91.0,11100,5378,8383,10612,69
2025-01-29 22:43:48 +0200,91.0,11106,5274,8418,10612,69
2025-01-29 22:43:49 +0200,90.0,11104,5104,8475,10613,69
2025-01-29 22:43:50 +0200,90.0,11109,5231,8447,10613,69
2025-01-29 22:43:51 +0200,90.0,11112,5773,8566,10613,69
2025-01-29 22:43:52 +0200,91.0,11102,6006,8659,10613,69
2025-01-29 22:43:53 +0200,91.0,11108,6112,8782,10614,69
2025-01-29 22:43:54 +0200,91.0,11103,6051,8796,10614,69
2025-01-29 22:43:55 +0200,91.0,11112,5919,8615,10615,69
2025-01-29 22:43:56 +0200,91.0,11133,5967,8687,10615,69
2025-01-29 22:43:57 +0200,91.0,11081,6183,8760,10615,69
2025-01-29 22:43:58 +0200,90.0,11105,6236,8755,10615,69
2025-01-29 22:43:59 +0200,91.0,11108,6352,8970,10616,69
2025-01-29 22:44:00 +0200,91.0,11105,6280,9144,10616,69
2025-01-29 22:44:01 +0200,90.0,11114,6051,8654,10616,69
2025-01-29 22:44:02 +0200,90.0,11107,5898,8393,10617,69
2025-01-29 22:44:03 +0200,91.0,11108,5865,8513,10617,69
