time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-01-31 22:38:10 +0200,1.0,20688071296,0,0,1179,7
2025-01-31 22:38:11 +0200,17.0,60773,1569,2396,2267,14
2025-01-31 22:38:12 +0200,20.0,50768,468,932,2358,15
2025-01-31 22:38:13 +0200,22.0,46863,417,852,2358,15
2025-01-31 22:38:14 +0200,20.0,59538,421,900,2358,15
2025-01-31 22:38:15 +0200,16.0,65236,390,920,2358,15
2025-01-31 22:38:16 +0200,18.0,59393,548,970,2360,15
2025-01-31 22:38:17 +0200,20.0,52210,584,774,2370,15
2025-01-31 22:38:18 +0200,21.0,48931,540,561,2528,16
2025-01-31 22:38:19 +0200,22.0,46837,492,907,2666,17
2025-01-31 22:38:20 +0200,22.0,46863,469,924,2957,19
2025-01-31 22:38:21 +0200,22.0,46863,470,1000,3199,20
2025-01-31 22:38:22 +0200,20.0,50810,447,984,3236,21
2025-01-31 22:38:23 +0200,18.0,56436,461,1079,3236,21
2025-01-31 22:38:24 +0200,7.0,182116,429,1161,3236,21
2025-01-31 22:38:26 +0200,4.0,297034,444,1160,3236,21
2025-01-31 22:38:27 +0200,4.0,297380,408,982,3236,21
2025-01-31 22:38:28 +0200,8.0,131848,374,1012,3236,21
2025-01-31 22:38:29 +0200,22.0,46674,356,959,3236,21
2025-01-31 22:38:30 +0200,18.0,62570,392,1074,3236,21
2025-01-31 22:38:31 +0200,12.0,98282,410,959,3236,21
2025-01-31 22:38:32 +0200,17.0,59164,478,973,3247,21
2025-01-31 22:38:33 +0200,22.0,46870,494,969,3247,21
2025-01-31 22:38:35 +0200,6.0,268348,479,1058,3244,21
2025-01-31 22:38:36 +0200,19.0,55058,486,787,3730,24
2025-01-31 22:38:37 +0200,20.0,51059,408,956,4262,27
2025-01-31 22:38:38 +0200,22.0,46610,423,910,4709,30
2025-01-31 22:38:39 +0200,22.0,46864,424,968,5228,34
2025-01-31 22:38:40 +0200,22.0,46876,441,1037,5559,36
2025-01-31 22:38:41 +0200,21.0,66690,436,908,6219,40
2025-01-31 22:38:43 +0200,29.0,41366,1572,1737,6219,40
2025-01-31 22:38:44 +0200,63.0,15967,6499,8425,7019,45
2025-01-31 22:38:45 +0200,90.0,11111,5759,8135,7019,45
2025-01-31 22:38:46 +0200,82.0,12210,5483,6880,7020,45
2025-01-31 22:38:47 +0200,90.0,11103,5490,7341,7021,45
2025-01-31 22:38:48 +0200,90.0,11123,5544,7399,7021,45
2025-01-31 22:38:49 +0200,91.0,11637,5151,7218,7022,45
2025-01-31 22:38:50 +0200,91.0,11042,5146,7032,7022,45
2025-01-31 22:38:51 +0200,91.0,11120,4923,7041,7023,45
2025-01-31 22:38:52 +0200,90.0,11096,5132,7086,7023,45
2025-01-31 22:38:53 +0200,91.0,11106,4250,6806,7024,45
2025-01-31 22:38:54 +0200,90.0,11107,5094,7358,7024,45
2025-01-31 22:38:55 +0200,90.0,11113,5172,7294,7024,45
2025-01-31 22:38:56 +0200,91.0,11102,5113,7610,7025,45
2025-01-31 22:38:57 +0200,91.0,11110,3547,6489,7025,45
2025-01-31 22:38:58 +0200,91.0,11106,3648,6758,7025,45
2025-01-31 22:38:59 +0200,91.0,11117,3729,6676,7026,45
2025-01-31 22:39:00 +0200,91.0,11098,3822,6643,7026,45
2025-01-31 22:39:01 +0200,90.0,11109,3603,6664,7026,45
2025-01-31 22:39:02 +0200,90.0,11108,3751,6614,7026,45
2025-01-31 22:39:03 +0200,91.0,11120,5098,7364,7026,45
2025-01-31 22:39:04 +0200,90.0,11113,4290,7273,7027,45
2025-01-31 22:39:05 +0200,91.0,11084,4156,7239,7028,45
2025-01-31 22:39:06 +0200,91.0,11113,4240,7479,7029,45
2025-01-31 22:39:07 +0200,91.0,11107,4126,7427,7029,45
2025-01-31 22:39:08 +0200,90.0,11112,4223,7499,7030,46
2025-01-31 22:39:09 +0200,90.0,11104,4246,7408,7031,46
2025-01-31 22:39:10 +0200,90.0,11106,4281,7514,7031,46
2025-01-31 22:39:11 +0200,91.0,11111,4537,7691,7033,46
2025-01-31 22:39:12 +0200,91.0,11104,4166,7477,7033,46
2025-01-31 22:39:13 +0200,91.0,11104,3441,7731,7033,46
2025-01-31 22:39:14 +0200,91.0,11105,2633,7522,7033,46
2025-01-31 22:39:15 +0200,90.0,11106,2554,6248,7033,46
2025-01-31 22:39:16 +0200,91.0,11120,3024,7286,7033,46
2025-01-31 22:39:17 +0200,90.0,11106,2707,6906,7033,46
