time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-02-03 17:05:45 +0200,1.0,71682059894,0,0,1179,7
2025-02-03 17:05:46 +0200,18.0,57247,818,2197,2267,14
2025-02-03 17:05:47 +0200,21.0,49105,459,949,2358,15
2025-02-03 17:05:48 +0200,22.0,46862,415,957,2358,15
2025-02-03 17:05:49 +0200,16.0,63561,398,881,2358,15
2025-02-03 17:05:50 +0200,16.0,64487,389,924,2358,15
2025-02-03 17:05:51 +0200,19.0,54153,477,890,2360,15
2025-02-03 17:05:52 +0200,19.0,53621,466,839,2362,15
2025-02-03 17:05:54 +0200,21.0,48948,512,589,2520,16
2025-02-03 17:05:55 +0200,22.0,46878,441,929,2691,17
2025-02-03 17:05:56 +0200,22.0,46893,448,1021,3003,19
2025-02-03 17:05:57 +0200,22.0,46875,428,956,3228,21
2025-02-03 17:05:58 +0200,20.0,51817,402,972,3228,21
2025-02-03 17:05:59 +0200,18.0,59509,414,972,3228,21
2025-02-03 17:06:00 +0200,4.0,306992,458,979,3228,21
2025-02-03 17:06:01 +0200,4.0,300827,424,828,3228,21
2025-02-03 17:06:02 +0200,4.0,333966,480,1086,3228,21
2025-02-03 17:06:03 +0200,16.0,63436,346,892,3228,21
2025-02-03 17:06:05 +0200,21.0,51343,383,918,3228,21
2025-02-03 17:06:06 +0200,12.0,89601,396,885,3228,21
2025-02-03 17:06:07 +0200,15.0,68039,376,889,3228,21
2025-02-03 17:06:08 +0200,22.0,46771,482,934,3247,21
2025-02-03 17:06:09 +0200,15.0,119709,459,944,3241,21
2025-02-03 17:06:10 +0200,19.0,52662,441,802,3785,24
2025-02-03 17:06:12 +0200,20.0,50946,392,859,4340,28
2025-02-03 17:06:13 +0200,22.0,46955,399,931,4792,31
2025-02-03 17:06:14 +0200,22.0,46634,435,1005,5312,34
2025-02-03 17:06:15 +0200,22.0,46881,408,875,5633,36
2025-02-03 17:06:16 +0200,14.0,71948,391,902,6209,40
2025-02-03 17:06:17 +0200,31.0,40225,2005,1667,7032,46
2025-02-03 17:06:18 +0200,87.0,11849,5892,8627,7008,45
2025-02-03 17:06:19 +0200,90.0,11117,5437,7381,7006,45
2025-02-03 17:06:20 +0200,81.0,12337,4975,6594,7007,45
2025-02-03 17:06:21 +0200,91.0,11103,4837,6621,7008,45
2025-02-03 17:06:22 +0200,90.0,11110,4561,6410,7012,45
2025-02-03 17:06:23 +0200,86.0,11733,4789,6404,7012,45
2025-02-03 17:06:24 +0200,89.0,11272,4770,6753,7012,45
2025-02-03 17:06:25 +0200,90.0,11114,4617,6425,7013,45
2025-02-03 17:06:26 +0200,91.0,11082,4408,6332,7013,45
2025-02-03 17:06:27 +0200,91.0,11104,4197,6240,7013,45
2025-02-03 17:06:28 +0200,90.0,11113,5168,7017,7015,45
2025-02-03 17:06:29 +0200,90.0,11108,5489,7227,7015,45
2025-02-03 17:06:30 +0200,91.0,11106,5602,7234,7015,45
2025-02-03 17:06:31 +0200,91.0,11106,5955,7516,7016,45
2025-02-03 17:06:32 +0200,90.0,11107,5630,7300,7016,45
2025-02-03 17:06:33 +0200,90.0,11116,5610,7301,7016,45
2025-02-03 17:06:34 +0200,91.0,11100,5609,7345,7016,45
2025-02-03 17:06:35 +0200,90.0,11106,5711,7369,7017,45
2025-02-03 17:06:36 +0200,91.0,11108,5733,7438,7017,45
2025-02-03 17:06:37 +0200,90.0,11103,5757,7467,7017,45
2025-02-03 17:06:38 +0200,91.0,11113,5051,6849,7018,45
2025-02-03 17:06:39 +0200,90.0,11108,4634,6589,7018,45
2025-02-03 17:06:40 +0200,90.0,11108,4567,6502,7019,45
2025-02-03 17:06:41 +0200,90.0,11109,4707,6655,7020,45
2025-02-03 17:06:42 +0200,91.0,11108,4734,6698,7020,45
2025-02-03 17:06:43 +0200,90.0,11107,5038,6774,7020,45
2025-02-03 17:06:44 +0200,91.0,11103,4637,6713,7021,45
2025-02-03 17:06:45 +0200,90.0,11114,4700,6613,7021,45
2025-02-03 17:06:46 +0200,91.0,11121,4488,6514,7021,45
2025-02-03 17:06:47 +0200,91.0,11089,3861,6844,7021,45
2025-02-03 17:06:48 +0200,90.0,11104,4629,7209,7021,45
2025-02-03 17:06:49 +0200,90.0,11111,4450,7254,7021,45
2025-02-03 17:06:50 +0200,91.0,11109,4852,7390,7021,45
2025-02-03 17:06:51 +0200,91.0,11104,4669,7112,7021,45
2025-02-03 17:06:52 +0200,90.0,11269,3970,6703,7023,45
2025-02-03 17:06:53 +0200,92.0,10953,4533,7073,7023,45
2025-02-03 17:06:54 +0200,89.0,11234,5373,7428,7023,45
