time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-01-30 15:39:54 +0200,1.0,1571918950,0,0,1179,7
2025-01-30 15:39:55 +0200,13.0,79356,966,2764,2267,14
2025-01-30 15:39:56 +0200,21.0,47673,420,935,2358,15
2025-01-30 15:39:57 +0200,22.0,47510,411,883,2358,15
2025-01-30 15:39:59 +0200,22.0,58663,432,1044,2358,15
2025-01-30 15:40:00 +0200,12.0,85160,485,946,2358,15
2025-01-30 15:40:01 +0200,18.0,55749,453,894,2359,15
2025-01-30 15:40:02 +0200,18.0,57060,486,924,2363,15
2025-01-30 15:40:03 +0200,21.0,49118,474,710,2518,16
2025-01-30 15:40:04 +0200,22.0,46881,458,978,2689,17
2025-01-30 15:40:05 +0200,22.0,46864,458,1078,2996,19
2025-01-30 15:40:06 +0200,22.0,46869,448,1036,3226,21
2025-01-30 15:40:07 +0200,19.0,53090,421,977,3226,21
2025-01-30 15:40:08 +0200,19.0,54625,400,995,3226,21
2025-01-30 15:40:09 +0200,6.0,196156,422,941,3226,21
2025-01-30 15:40:10 +0200,5.0,259275,398,959,3226,21
2025-01-30 15:40:12 +0200,4.0,300474,411,1059,3226,21
2025-01-30 15:40:13 +0200,5.0,226400,336,954,3226,21
2025-01-30 15:40:14 +0200,17.0,61894,378,1053,3226,21
2025-01-30 15:40:15 +0200,20.0,51615,413,1045,3226,21
2025-01-30 15:40:16 +0200,11.0,93016,399,877,3226,21
2025-01-30 15:40:17 +0200,13.0,78615,373,1016,3243,21
2025-01-30 15:40:18 +0200,22.0,46878,484,951,3232,21
2025-01-30 15:40:20 +0200,13.0,127891,484,798,3239,21
2025-01-30 15:40:21 +0200,19.0,53129,456,974,3746,24
2025-01-30 15:40:22 +0200,20.0,53078,429,856,4338,28
2025-01-30 15:40:23 +0200,22.0,46275,429,856,4769,31
2025-01-30 15:40:24 +0200,22.0,46802,426,922,5292,34
2025-01-30 15:40:25 +0200,22.0,46939,432,921,5631,36
2025-01-30 15:40:26 +0200,14.0,74803,404,900,6204,40
2025-01-30 15:40:27 +0200,30.0,36307,2013,2411,7028,45
2025-01-30 15:40:28 +0200,89.0,11554,3702,7152,7002,45
2025-01-30 15:40:29 +0200,87.0,11568,4468,6627,7003,45
2025-01-30 15:40:30 +0200,86.0,11675,4297,6249,7003,45
2025-01-30 15:40:31 +0200,90.0,11098,4684,6363,7003,45
2025-01-30 15:40:32 +0200,87.0,11570,5852,7300,7004,45
2025-01-30 15:40:33 +0200,90.0,11159,5412,6979,7005,45
2025-01-30 15:40:34 +0200,90.0,11112,5733,7212,7007,45
2025-01-30 15:40:35 +0200,84.0,12023,5826,8066,7006,45
2025-01-30 15:40:36 +0200,90.0,11162,5900,8797,7007,45
2025-01-30 15:40:37 +0200,91.0,11070,5640,8654,7008,45
2025-01-30 15:40:38 +0200,90.0,11112,5942,8909,7010,45
2025-01-30 15:40:39 +0200,90.0,11103,5931,8807,7011,45
2025-01-30 15:40:40 +0200,90.0,11110,6091,8835,7013,45
2025-01-30 15:40:41 +0200,91.0,11088,6404,8975,7013,45
2025-01-30 15:40:42 +0200,90.0,11117,6081,8797,7015,45
2025-01-30 15:40:43 +0200,91.0,11101,6216,8971,7016,45
2025-01-30 15:40:44 +0200,91.0,11100,6335,9057,7018,45
2025-01-30 15:40:45 +0200,90.0,11112,6167,8740,7019,45
2025-01-30 15:40:46 +0200,90.0,11112,5677,8723,7027,45
2025-01-30 15:40:47 +0200,91.0,11100,5603,8789,7035,46
2025-01-30 15:40:48 +0200,90.0,11104,5578,8862,7036,46
2025-01-30 15:40:49 +0200,91.0,11109,5734,9121,7037,46
2025-01-30 15:40:50 +0200,91.0,11115,5832,9207,7039,46
