time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-01-29 23:07:49 +0200,1.0,22487412460,0,0,1179,7
2025-01-29 23:07:50 +0200,17.0,60601,1401,2452,2267,14
2025-01-29 23:07:51 +0200,20.0,50812,431,1085,2358,15
2025-01-29 23:07:52 +0200,22.0,46860,423,943,2358,15
2025-01-29 23:07:53 +0200,22.0,46859,451,1008,2358,15
2025-01-29 23:07:54 +0200,22.0,46858,390,1029,2358,15
2025-01-29 23:07:55 +0200,22.0,46873,411,1031,2358,15
2025-01-29 23:07:56 +0200,21.0,47652,400,967,2358,15
2025-01-29 23:07:57 +0200,22.0,46821,393,966,2358,15
2025-01-29 23:07:58 +0200,22.0,46880,377,885,2358,15
2025-01-29 23:07:59 +0200,22.0,46877,434,1020,2358,15
2025-01-29 23:08:00 +0200,17.0,60646,426,998,2358,15
2025-01-29 23:08:01 +0200,21.0,48588,492,858,2359,15
2025-01-29 23:08:02 +0200,20.0,51319,475,982,2361,15
2025-01-29 23:08:03 +0200,21.0,49088,458,861,2362,15
2025-01-29 23:08:04 +0200,18.0,56633,567,719,2533,16
2025-01-29 23:08:05 +0200,22.0,46708,496,1058,2662,17
2025-01-29 23:08:06 +0200,22.0,46888,428,914,2995,19
2025-01-29 23:08:07 +0200,22.0,46845,477,1008,2995,19
2025-01-29 23:08:08 +0200,22.0,46860,463,1125,2995,19
2025-01-29 23:08:09 +0200,19.0,53613,410,979,2995,19
2025-01-29 23:08:10 +0200,19.0,53397,350,964,2995,19
2025-01-29 23:08:11 +0200,12.0,90787,375,873,2995,19
2025-01-29 23:08:13 +0200,4.0,290914,407,964,2995,19
2025-01-29 23:08:14 +0200,4.0,339840,369,1046,2995,19
2025-01-29 23:08:15 +0200,4.0,255826,368,887,2995,19
2025-01-29 23:08:16 +0200,16.0,63645,370,922,2995,19
2025-01-29 23:08:17 +0200,22.0,46856,372,1009,2995,19
2025-01-29 23:08:18 +0200,21.0,48466,371,1060,2995,19
2025-01-29 23:08:19 +0200,18.0,56158,476,1037,2996,19
2025-01-29 23:08:20 +0200,22.0,46277,474,1048,3015,19
2025-01-29 23:08:22 +0200,13.0,129368,477,966,3012,19
2025-01-29 23:08:23 +0200,13.0,77371,459,838,3611,23
2025-01-29 23:08:24 +0200,18.0,55935,472,915,4360,28
2025-01-29 23:08:25 +0200,15.0,69296,388,943,5167,33
2025-01-29 23:08:26 +0200,19.0,54404,425,958,5869,38
2025-01-29 23:08:27 +0200,20.0,51424,427,933,6686,43
